GPU | Çalışma Süresi: 0.194722 saniye | Boyutu: 50
CPU | Çalışma Süresi: 0.000001 saniye | Boyut: 50
GPU | Çalışma Süresi: 0.257864 saniye | Boyutu: 100
CPU | Çalışma Süresi: 0.000001 saniye | Boyut: 100
GPU | Çalışma Süresi: 0.244934 saniye | Boyutu: 200
CPU | Çalışma Süresi: 0.000001 saniye | Boyut: 200
GPU | Çalışma Süresi: 0.240083 saniye | Boyutu: 500
CPU | Çalışma Süresi: 0.000002 saniye | Boyut: 500
GPU | Çalışma Süresi: 0.235485 saniye | Boyutu: 1000
CPU | Çalışma Süresi: 0.000002 saniye | Boyut: 1000
GPU | Çalışma Süresi: 0.255841 saniye | Boyutu: 2000
CPU | Çalışma Süresi: 0.000004 saniye | Boyut: 2000
GPU | Çalışma Süresi: 0.251563 saniye | Boyutu: 3000
CPU | Çalışma Süresi: 0.000006 saniye | Boyut: 3000
GPU | Çalışma Süresi: 0.346014 saniye | Boyutu: 10000
CPU | Çalışma Süresi: 0.000040 saniye | Boyut: 10000
GPU | Çalışma Süresi: 0.912237 saniye | Boyutu: 20000
CPU | Çalışma Süresi: 0.602703 saniye | Boyut: 20000
GPU | Çalışma Süresi: 0.320307 saniye | Boyutu: 30000
CPU | Çalışma Süresi: 1.736241 saniye | Boyut: 30000
GPU | Çalışma Süresi: 0.583465 saniye | Boyutu: 35000
CPU | Çalışma Süresi: 2.239941 saniye | Boyut: 35000
