GPU | Çalışma Süresi: 0.000742 saniye | Boyutu: 50
CPU | Çalışma Süresi: 0.001600 saniye | Boyut: 50
GPU | Çalışma Süresi: 0.002201 saniye | Boyutu: 100
CPU | Çalışma Süresi: 0.011341 saniye | Boyut: 100
GPU | Çalışma Süresi: 0.008694 saniye | Boyutu: 200
CPU | Çalışma Süresi: 0.071673 saniye | Boyut: 200
GPU | Çalışma Süresi: 0.052864 saniye | Boyutu: 500
CPU | Çalışma Süresi: 1.016412 saniye | Boyut: 500
GPU | Çalışma Süresi: 0.191140 saniye | Boyutu: 1000
CPU | Çalışma Süresi: 8.926241 saniye | Boyut: 1000
GPU | Çalışma Süresi: 0.502056 saniye | Boyutu: 2000
CPU | Çalışma Süresi: 68.849335 saniye | Boyut: 2000
