GPU | Çalışma Süresi: 0.069624 saniye | Boyut: 50
CPU | Çalışma Süresi: 0.001020 saniye | Boyut: 50
GPU | Çalışma Süresi: 0.001410 saniye | Boyut: 100
CPU | Çalışma Süresi: 0.006508 saniye | Boyut: 100
GPU | Çalışma Süresi: 0.002591 saniye | Boyut: 200
CPU | Çalışma Süresi: 0.037789 saniye | Boyut: 200
GPU | Çalışma Süresi: 0.010858 saniye | Boyut: 500
CPU | Çalışma Süresi: 0.725978 saniye | Boyut: 500
GPU | Çalışma Süresi: 0.048398 saniye | Boyut: 1000
CPU | Çalışma Süresi: 4.061344 saniye | Boyut: 1000
GPU | Çalışma Süresi: 0.311343 saniye | Boyut: 2000
CPU | Çalışma Süresi: 31.203796 saniye | Boyut: 2000
